"trimmed.1368.01.SH18291.meso.octo_S1_L001_R1_001.fastq.gz" "trimmed.1368.02.SH18292.meso.octo_S2_L001_R1_001.fastq.gz" "trimmed.1368.03.SH18293.meso.octo_S3_L001_R1_001.fastq.gz" "trimmed.1368.04.SH18294.meso.octo_S4_L001_R1_001.fastq.gz" "trimmed.1368.05.SH18295.meso.octo_S5_L001_R1_001.fastq.gz" "trimmed.1368.06.SH18296.meso.octo_S6_L001_R1_001.fastq.gz" "trimmed.1368.07.SH18297.meso.octo_S7_L001_R1_001.fastq.gz" "trimmed.1368.08.SH18299.meso.octo_S8_L001_R1_001.fastq.gz" "trimmed.1368.09.SH18300.meso.octo_S9_L001_R1_001.fastq.gz" "trimmed.1368.10.SH18301.meso.octo_S10_L001_R1_001.fastq.gz" "trimmed.1368.11.SH18302.meso.octo_S11_L001_R1_001.fastq.gz" "trimmed.1368.12.SH18303.meso.octo_S12_L001_R1_001.fastq.gz" "trimmed.1368.13.SH18304.meso.octo_S13_L001_R1_001.fastq.gz" "trimmed.1368.14.SH18305.meso.octo_S14_L001_R1_001.fastq.gz" "trimmed.1368.15.SH18306.meso.octo_S15_L001_R1_001.fastq.gz" "trimmed.1368.16.SH18307.meso.octo_S16_L001_R1_001.fastq.gz" "trimmed.1368.17.SH18308.meso.octo_S17_L001_R1_001.fastq.gz" "trimmed.1368.18.SH18309.meso.octo_S18_L001_R1_001.fastq.gz" "trimmed.1368.19.SH18310.meso.octo_S19_L001_R1_001.fastq.gz" "trimmed.1368.20.SH18311.meso.octo_S20_L001_R1_001.fastq.gz" "trimmed.1368.21.SH18312.meso.octo_S21_L001_R1_001.fastq.gz" "trimmed.1368.22.SH18313.meso.octo_S22_L001_R1_001.fastq.gz" "trimmed.1368.23.SH18314.meso.octo_S23_L001_R1_001.fastq.gz" "trimmed.1368.24.SH18315.meso.octo_S24_L001_R1_001.fastq.gz" "trimmed.1368.25.SH18328.meso.octo_S25_L001_R1_001.fastq.gz" "trimmed.1368.26.SH18353.meso.octo_S26_L001_R1_001.fastq.gz" "trimmed.1368.27.SH18354.meso.octo_S27_L001_R1_001.fastq.gz" "trimmed.1368.28.SH18355.meso.octo_S28_L001_R1_001.fastq.gz" "trimmed.1368.29.SH18357.meso.octo_S29_L001_R1_001.fastq.gz" "trimmed.1368.30.SH18358.meso.octo_S30_L001_R1_001.fastq.gz" "trimmed.1368.31.SH18371.meso.octo_S31_L001_R1_001.fastq.gz" "trimmed.1368.32.NTC.meso.octo_S32_L001_R1_001.fastq.gz" "trimmed.1368.33.SH18180.deep.octo_S33_L001_R1_001.fastq.gz" "trimmed.1368.34.SH18181.deep.octo_S34_L001_R1_001.fastq.gz" "trimmed.1368.35.SH18182.deep.octo_S35_L001_R1_001.fastq.gz" "trimmed.1368.36.SH18196.deep.octo_S36_L001_R1_001.fastq.gz" "trimmed.1368.37.SH18197.deep.octo_S37_L001_R1_001.fastq.gz" "trimmed.1368.38.SH18198.deep.octo_S38_L001_R1_001.fastq.gz" "trimmed.1368.39.SH18199.deep.octo_S39_L001_R1_001.fastq.gz" "trimmed.1368.40.SH18200.deep.octo_S40_L001_R1_001.fastq.gz" "trimmed.1368.41.SH18201.deep.octo_S41_L001_R1_001.fastq.gz" "trimmed.1368.42.SH18202.deep.octo_S42_L001_R1_001.fastq.gz" "trimmed.1368.43.SH18203.deep.octo_S43_L001_R1_001.fastq.gz" "trimmed.1368.44.SH18204.deep.octo_S44_L001_R1_001.fastq.gz" "trimmed.1368.45.SH18205.deep.octo_S45_L001_R1_001.fastq.gz" "trimmed.1368.46.SH18206.deep.octo_S46_L001_R1_001.fastq.gz" "trimmed.1368.47.SH18376.deep.octo_S47_L001_R1_001.fastq.gz" "trimmed.1368.48.SH18377.deep.octo_S48_L001_R1_001.fastq.gz" "trimmed.1368.49.SH18378.deep.octo_S49_L001_R1_001.fastq.gz" "trimmed.1368.50.SH18379.deep.octo_S50_L001_R1_001.fastq.gz" "trimmed.1368.51.SH18380.deep.octo_S51_L001_R1_001.fastq.gz" "trimmed.1368.52.SH18381.deep.octo_S52_L001_R1_001.fastq.gz" "trimmed.1368.53.SH18382.deep.octo_S53_L001_R1_001.fastq.gz" "trimmed.1368.54.NTC.deep.octo_S54_L001_R1_001.fastq.gz"
"20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 21 197 1 7 0 0 61 0 0 0 0 30 0 0 0 0 0
"21" 14 0 16 0 0 0 1 8 0 5 5496 3 3 4 2 0 2 0 0 0 0 0 0 0 0 0 45 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"23" 13 0 18 0 12 0 0 1 4 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 4 0 8 1 0 0 47 0 0 0 0 0 0 0 0 0 0 0 0
"24" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25" 67 0 0 0 0 0 0 0 0 32 3 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 97 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"27" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 39 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0
"28" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1799 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"29" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 0 0 0 0 0 0 0 0 0 0 0 0 0
"30" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42 0 0 2 0 0 0 3 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"31" 0 0 15 0 0 0 0 0 0 7 0 0 0 0 0 0 21 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"33" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 2 0 0 0 6 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0
"34" 0 0 0 0 0 0 0 0 0 5 1 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35" 18 0 0 0 0 1 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 3 1 0 0 0 0 9 27151 0 50 104 94 7 73 26 1 6 0 0 0 0 0 0 0 0 0 0 0
"36" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0
"37" 0 0 0 0 0 0 0 0 0 0 0 0 5 10 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 9 4 650 28 7 0 0 30 234 158 0 0 0 0 0 0 0 0 0 0
"38" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 18 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"39" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"40" 7 1 0 0 0 0 0 2 9 808 0 342 0 5 0 0 40 11159 10464 0 0 0 0 0 0 43 0 0 0 0 0 0 22 432 4 660 0 29 80 0 30 0 183 0 0 0 0 0 0 0 0 0 0 0
"41" 0 0 0 0 0 0 0 0 0 0 0 229 0 2 0 0 0 61 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 2 0 591 1 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"42" 8 0 0 0 0 0 0 0 0 0 0 0 0 5 6 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"43" 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"44" 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"45" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"46" 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"47" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"48" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"49" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"50" 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"51" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"52" 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"53" 21 36 0 3 0 0 9 14 9 2 2 5 0 11 7 9346 421 0 0 0 0 0 0 179 0 8 0 0 1 0 0 0 0 0 0 0 130 7259 3 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0
"54" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0
"55" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"56" 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"57" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"58" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"59" 0 0 24 0 0 0 0 25 11 7 3 8 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 13 5 0 2 0 0 0 4 0 0 20 471 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"60" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0
"61" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 16 29 15 20 116 54 61 4 246 0 0 0 2 0 0 0 0 0 0
"62" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"63" 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"64" 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"65" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0
"66" 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"67" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
